k,ext_degree,hash,profile,schedule,rounds,proof_KB,prover_time,verifier_time
10,8,SHA3-256,proof_size,"[8, 8, 4, 4, 4, 2]",6,80.88,6.3023e+05,8.3400e+04
10,8,SHA3-256,prover,"[8, 8, 8, 4, 4]",5,81.78,6.2961e+05,8.1790e+04
10,8,SHA3-256,verifier,"[8, 8, 8, 4, 4]",5,81.78,6.2961e+05,8.1790e+04
10,8,SHA3-256,balanced,"[8, 8, 8, 4, 4]",5,81.78,6.2961e+05,8.1790e+04
10,8,SHA3-256,on_chain,"[8, 8, 8, 4, 4]",5,81.78,6.2961e+05,8.1790e+04
10,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",13,122.34,1.0157e+06,1.5587e+05
10,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 2]",7,82.78,6.7170e+05,9.2570e+04
10,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 2]",5,84.59,6.2958e+05,8.3230e+04
11,8,SHA3-256,proof_size,"[8, 8, 4, 4, 4, 4]",6,89.31,1.2605e+06,9.3840e+04
11,8,SHA3-256,prover,"[8, 8, 8, 8, 4]",5,92.09,1.2592e+06,9.2170e+04
11,8,SHA3-256,verifier,"[8, 8, 8, 8, 4]",5,92.09,1.2592e+06,9.2170e+04
11,8,SHA3-256,balanced,"[8, 8, 8, 4, 4, 2]",6,90.25,1.2594e+06,9.2280e+04
11,8,SHA3-256,on_chain,"[8, 8, 8, 4, 4, 2]",6,90.25,1.2594e+06,9.2280e+04
11,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",14,138.31,2.0315e+06,1.7836e+05
11,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4]",7,92.16,1.3434e+06,1.0451e+05
11,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 4]",5,92.09,1.2592e+06,9.2170e+04
12,8,SHA3-256,proof_size,"[8, 8, 8, 4, 4, 4]",6,98.69,2.5187e+06,1.0272e+05
12,8,SHA3-256,prover,"[8, 8, 8, 8, 8]",5,103.34,2.5184e+06,1.0405e+05
12,8,SHA3-256,verifier,"[8, 8, 8, 8, 4, 2]",6,100.56,2.5185e+06,1.0266e+05
12,8,SHA3-256,balanced,"[8, 8, 8, 8, 4, 2]",6,100.56,2.5185e+06,1.0266e+05
12,8,SHA3-256,on_chain,"[8, 8, 8, 4, 4, 4]",6,98.69,2.5187e+06,1.0272e+05
12,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",15,155.22,4.0631e+06,2.0235e+05
12,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 2]",8,102.50,2.6869e+06,1.1800e+05
12,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8]",5,103.34,2.5184e+06,1.0405e+05
13,8,SHA3-256,proof_size,"[8, 8, 8, 8, 4, 4]",6,109.00,5.0369e+06,1.1310e+05
13,8,SHA3-256,prover,"[8, 8, 8, 8, 8, 2]",6,111.81,5.0369e+06,1.1454e+05
13,8,SHA3-256,verifier,"[8, 8, 8, 8, 4, 4]",6,109.00,5.0369e+06,1.1310e+05
13,8,SHA3-256,balanced,"[8, 8, 8, 8, 4, 4]",6,109.00,5.0369e+06,1.1310e+05
13,8,SHA3-256,on_chain,"[8, 8, 8, 8, 4, 4]",6,109.00,5.0369e+06,1.1310e+05
13,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",16,173.06,8.1263e+06,2.2784e+05
13,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4]",8,112.81,5.3739e+06,1.3144e+05
13,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 2]",6,111.81,5.0369e+06,1.1454e+05
14,8,SHA3-256,proof_size,"[8, 8, 8, 8, 8, 4]",6,120.25,1.0074e+07,1.2498e+05
14,8,SHA3-256,prover,"[8, 8, 8, 8, 8, 4]",6,120.25,1.0074e+07,1.2498e+05
14,8,SHA3-256,verifier,"[16, 8, 8, 8, 4, 4]",6,124.00,1.0607e+07,1.2486e+05
14,8,SHA3-256,balanced,"[8, 8, 8, 8, 8, 4]",6,120.25,1.0074e+07,1.2498e+05
14,8,SHA3-256,on_chain,"[16, 8, 8, 8, 4, 4]",6,124.00,1.0607e+07,1.2486e+05
14,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",17,191.84,1.6253e+07,2.5483e+05
14,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 2]",9,124.09,1.0748e+07,1.4643e+05
14,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 4]",6,120.25,1.0074e+07,1.2498e+05
15,8,SHA3-256,proof_size,"[8, 8, 8, 8, 8, 8]",6,132.44,2.0148e+07,1.3836e+05
15,8,SHA3-256,prover,"[8, 8, 8, 8, 8, 8]",6,132.44,2.0148e+07,1.3836e+05
15,8,SHA3-256,verifier,"[16, 8, 8, 8, 8, 4]",6,135.25,2.1215e+07,1.3674e+05
15,8,SHA3-256,balanced,"[8, 8, 8, 8, 8, 8]",6,132.44,2.0148e+07,1.3836e+05
15,8,SHA3-256,on_chain,"[16, 8, 8, 8, 8, 4]",6,135.25,2.1215e+07,1.3674e+05
15,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",18,211.56,3.2506e+07,2.8332e+05
15,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",9,135.34,2.1496e+07,1.6137e+05
15,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8]",6,132.44,2.0148e+07,1.3836e+05
16,8,SHA3-256,proof_size,"[16, 8, 8, 8, 8, 8]",6,147.44,4.2430e+07,1.5012e+05
16,8,SHA3-256,prover,"[8, 8, 16, 8, 8, 8]",6,149.31,4.0329e+07,1.5312e+05
16,8,SHA3-256,verifier,"[16, 8, 8, 8, 8, 8]",6,147.44,4.2430e+07,1.5012e+05
16,8,SHA3-256,balanced,"[8, 16, 8, 8, 8, 8]",6,148.38,4.0562e+07,1.5162e+05
16,8,SHA3-256,on_chain,"[16, 8, 8, 8, 8, 8]",6,147.44,4.2430e+07,1.5012e+05
16,8,SHA3-256,base_binary,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",19,232.22,6.5012e+07,3.1331e+05
16,8,SHA3-256,base_arity-4,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 2]",10,147.56,4.2992e+07,1.7786e+05
16,8,SHA3-256,base_arity-8,"[8, 8, 8, 8, 8, 8, 2]",7,141.84,4.0295e+07,1.5035e+05
17,8,SHA3-256,proof_size,"[16, 16, 8, 8, 8, 8]",6,163.38,8.5127e+07,1.6338e+05
17,8,SHA3-256,prover,"[8, 8, 16, 16, 8, 8]",6,167.12,8.0661e+07,1.6938e+05
17,8,SHA3-256,verifier,"[16, 16, 8, 8, 8, 8]",6,163.38,8.5127e+07,1.6338e+05
