csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2932528,1.182457,54.459,55423.584478,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],3334944,2.315107,61.257,56615.962476,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],3535520,4.639324,66.282,56504.784764,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],3758496,9.321798,71.890,56243.224779,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],4026272,18.792719,78.454,55796.928828,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],4550688,38.570142,88.880,54372.420538,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],5087264,77.242332,103.637,54300.587152,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],5982240,153.830375,129.658,54531.544852,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],7582880,308.029816,177.541,54466.207927,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2932528,1.141958,54.569,57389.135888,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],3334944,2.271848,61.122,57694.004566,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],3535520,4.648371,66.130,56394.809083,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],3758496,9.390226,71.400,55833.373711,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],4026272,18.878423,78.514,55543.621058,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],4550688,38.566991,88.851,54376.863328,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],5087264,77.417199,103.727,54177.935165,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],5982240,155.556864,129.788,53926.312183,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],7582880,308.739012,177.773,54341.095121,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2932528,1.139684,54.479,57503.651492,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],3334944,2.271471,61.201,57703.574984,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],3535520,4.540859,66.094,57730.050198,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],3758496,9.011884,71.619,58177.402756,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],4026272,17.966297,78.272,58363.501566,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],4550688,36.744531,88.881,57073.854497,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],5087264,74.356578,103.732,56407.975019,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],5982240,153.330585,129.911,54709.293615,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],7582880,308.275133,177.822,54422.865202,0.00,0.00,0.00,0.00
