csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],137040,0.421379,0.541,155527.462290,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],163792,0.801426,0.598,163548.500353,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],165648,1.595658,0.622,164285.852191,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],167696,3.192611,0.634,164219.175250,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],170128,6.416394,0.674,163421.384836,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],198288,12.872468,0.833,162917.628482,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],203024,25.934681,1.226,161725.684114,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],210832,52.535199,2.552,159675.952625,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],224784,111.133033,7.815,150965.159027,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,25,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,512],275984,243.447457,28.293,137830.283530,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,12,[16,16,16],161360,0.025996,0.598,157562.956518,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,13,[16,16,16,2],210736,0.049991,0.687,163868.677018,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,14,[16,16,16,4],210928,0.093849,0.712,174577.692523,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,15,[16,16,16,8],211312,0.185739,0.715,176420.074460,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,16,[16,16,16,16],212080,0.369008,0.752,177600.324875,54.76,-12.43,38.88,14.19
csv,fib_w2_d2,2,1,16by16by16,17,[16,16,16,32],263536,0.742943,0.950,176422.656849,60.90,-7.30,58.89,7.87
csv,fib_w2_d2,2,1,16by16by16,18,[16,16,16,64],266608,1.473463,1.297,177910.154197,60.95,-7.66,108.48,8.29
csv,fib_w2_d2,2,1,16by16by16,19,[16,16,16,128],272752,2.951017,2.652,177663.512076,62.65,-7.57,318.36,8.19
csv,fib_w2_d2,2,1,16by16by16,20,[16,16,16,256],285040,5.932523,7.828,176750.420305,67.54,-7.54,1061.81,8.16
csv,fib_w2_d2,2,1,16by16by16,21,[16,16,16,512],359536,11.913538,28.308,176030.999976,81.32,-7.45,3300.22,8.05
csv,fib_w2_d2,2,1,16by16by16,22,[16,16,16,1024],408688,23.897520,109.285,175512.104574,101.30,-7.85,8812.13,8.52
csv,fib_w2_d2,2,1,16by16by16,23,[16,16,16,2048],506992,48.747495,433.143,172082.851489,140.47,-7.21,16871.86,7.77
csv,fib_w2_d2,2,1,16by16by16,24,[16,16,16,4096],703600,101.941748,1723.078,164576.498447,213.01,-8.27,21949.39,9.02
csv,fib_w2_d2,2,1,16by16by16,25,[16,16,16,8192],1146736,222.630222,6957.397,150718.225179,315.51,-8.55,24490.89,9.35
csv,fib_w2_d2,2,1,32by16by8,12,[32,16,8],241232,0.033945,0.840,120667.265231,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by16by8,13,[32,16,8,2],266032,0.065490,0.839,125087.322159,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by16by8,14,[32,16,8,4],266224,0.131539,0.875,124556.688726,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by16by8,15,[32,16,8,8],266608,0.260962,0.869,125566.134449,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by16by8,16,[32,16,8,16],318960,0.516745,1.026,126824.530309,132.75,22.63,89.58,-18.46
csv,fib_w2_d2,2,1,32by16by8,17,[32,16,8,32],345456,1.036860,1.155,126412.391832,110.91,29.38,93.21,-22.71
csv,fib_w2_d2,2,1,32by16by8,18,[32,16,8,64],348528,2.075260,1.501,126318.637563,110.40,30.06,141.20,-23.11
csv,fib_w2_d2,2,1,32by16by8,19,[32,16,8,128],354672,4.142461,2.842,126564.381854,111.50,29.75,348.39,-22.93
csv,fib_w2_d2,2,1,32by16by8,20,[32,16,8,256],366960,8.311549,8.023,126158.913919,115.70,29.54,1090.76,-22.80
csv,fib_w2_d2,2,1,32by16by8,21,[32,16,8,512],468080,16.684901,28.692,125691.608976,136.06,29.62,3346.35,-22.85
csv,fib_w2_d2,2,1,32by16by8,22,[32,16,8,1024],517232,33.344989,109.116,125785.135610,154.76,28.57,8798.34,-22.22
csv,fib_w2_d2,2,1,32by16by8,23,[32,16,8,2048],615536,68.092046,432.367,123195.123863,191.96,29.61,16841.46,-22.85
csv,fib_w2_d2,2,1,32by16by8,24,[32,16,8,4096],812144,141.385156,1758.842,118663.207080,261.30,27.22,22407.06,-21.40
csv,fib_w2_d2,2,1,32by16by8,25,[32,16,8,8192],1230320,297.584046,6946.168,112756.152067,345.79,22.24,24451.20,-18.19
csv,fib_w2_d2,2,1,64by32by16,15,[64,32,16],429008,0.431982,1.841,75854.968578,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,64by32by16,16,[64,32,16,2],428464,0.852245,1.731,76898.108920,212.66,102.25,219.84,-50.56
csv,fib_w2_d2,2,1,64by32by16,17,[64,32,16,4],453616,1.670535,1.741,78461.093779,176.95,108.45,191.16,-52.03
csv,fib_w2_d2,2,1,64by32by16,18,[64,32,16,8],454000,3.344527,1.791,78379.998007,174.08,109.60,187.79,-52.29
csv,fib_w2_d2,2,1,64by32by16,19,[64,32,16,16],559600,6.703404,1.925,78212.198976,233.70,109.97,203.74,-52.37
csv,fib_w2_d2,2,1,64by32by16,20,[64,32,16,32],561136,13.414551,2.049,78167.057582,229.83,109.07,204.08,-52.17
csv,fib_w2_d2,2,1,64by32by16,21,[64,32,16,64],589168,26.665854,2.451,78645.595619,197.13,107.15,194.38,-51.73
csv,fib_w2_d2,2,1,64by32by16,22,[64,32,16,128],595312,53.327333,3.817,78652.049276,193.22,105.62,211.29,-51.37
csv,fib_w2_d2,2,1,64by32by16,23,[64,32,16,256],607600,107.236303,8.964,78225.449637,188.19,104.12,251.25,-51.01
csv,fib_w2_d2,2,1,64by32by16,24,[64,32,16,512],632176,216.032101,29.288,77660.754865,181.24,94.39,274.78,-48.56
csv,fib_w2_d2,2,1,64by32by16,25,[64,32,16,1024],811120,440.887229,110.650,76106.609191,193.90,81.10,291.09,-44.78
