csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,16by16by16,12,[16,16,16],201008,0.011989,0.560,341652.465207,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,13,[16,16,16,2],288016,0.022588,0.580,362675.791174,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,14,[16,16,16,4],290800,0.045011,0.603,364001.253565,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,15,[16,16,16,8],296368,0.088582,0.710,369915.222155,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,16,[16,16,16,16],307504,0.171882,0.721,381284.834945,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,17,[16,16,16,32],410416,0.347254,0.999,377452.769866,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,18,[16,16,16,64],454960,0.693977,1.383,377741.579721,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,19,[16,16,16,128],544048,1.390920,1.987,376936.015600,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,20,[16,16,16,256],720880,2.806876,3.236,373574.087381,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,21,[16,16,16,512],813808,5.681719,6.077,369105.186980,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,22,[16,16,16,1024],838384,11.623880,9.920,360835.112295,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,23,[16,16,16,2048],887536,25.757594,18.481,325675.134016,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,24,[16,16,16,4096],985840,53.357693,36.718,314429.185450,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,16by16by16,25,[16,16,16,8192],1263088,133.099868,73.796,252099.664860,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,12,[32,16,8],254384,0.013558,0.604,302098.314710,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,13,[32,16,8,2],290704,0.023911,0.661,342599.051253,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,14,[32,16,8,4],313648,0.048153,0.720,340250.853597,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,15,[32,16,8,8],319216,0.089440,0.723,366368.683152,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,16,[32,16,8,16],381424,0.176708,0.894,370872.333424,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,17,[32,16,8,32],423856,0.344313,1.055,380677.160518,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,18,[32,16,8,64],488560,0.680125,1.419,385435.148201,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,19,[32,16,8,128],587056,1.364956,2.168,384106.072167,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,20,[32,16,8,256],763888,2.742565,3.518,382334.079174,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,21,[32,16,8,512],838000,5.508517,6.002,380710.821370,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,32by`6by8,22,[32,16,8,1024],892144,11.084681,10.261,378387.432539,0.00,0.00,0.00,0.00
